Date       ,開盤價          ,收盤價
2025-03-03 ,22734.05078125  ,22756.25
2025-03-04 ,22508.80078125  ,22596.880859375
2025-03-05 ,22778.859375    ,22871.900390625
2025-03-06 ,22930.109375    ,22715.4296875
2025-03-07 ,22696.23046875  ,22576.0703125
2025-03-10 ,22548.98046875  ,22459.150390625
2025-03-11 ,22126.060546875 ,22071.08984375
2025-03-12 ,22171.099609375 ,22278.359375
2025-03-13 ,22403.33984375  ,21961.6796875
2025-03-14 ,21986.810546875 ,21968.05078125
2025-03-17 ,22137.529296875 ,22118.630859375
2025-03-18 ,22204.619140625 ,22271.669921875
2025-03-19 ,22245.419921875 ,21960.830078125
2025-03-20 ,22171.0         ,22377.259765625
2025-03-21 ,22362.380859375 ,22209.099609375
2025-03-24 ,22348.380859375 ,22106.640625
2025-03-25 ,22269.369140625 ,22273.189453125
2025-03-26 ,22327.609375    ,22260.2890625
2025-03-27 ,22093.19921875  ,21951.759765625
2025-03-28 ,21836.16015625  ,21602.890625
2025-03-31 ,21254.630859375 ,20695.900390625
2025-04-01 ,20884.529296875 ,21280.169921875
2025-04-02 ,21313.76953125  ,21298.220703125
2025-04-07 ,20153.5703125   ,19232.349609375
2025-04-08 ,19064.470703125 ,18459.94921875
2025-04-09 ,18337.439453125 ,17391.759765625
2025-04-10 ,18256.470703125 ,19000.029296875
2025-04-11 ,18772.5         ,19528.76953125
2025-04-14 ,19686.6796875   ,19513.08984375
2025-04-15 ,19609.900390625 ,19857.669921875
2025-04-16 ,19737.08984375  ,19468.0
2025-04-17 ,19389.51953125  ,19338.73046875
2025-04-18 ,19423.98046875  ,19395.029296875
2025-04-21 ,19321.140625    ,19106.19921875
2025-04-22 ,18990.859375    ,18793.4296875
2025-04-23 ,19163.609375    ,19639.140625
2025-04-24 ,19752.58984375  ,19478.810546875
2025-04-25 ,19861.240234375 ,19872.73046875
2025-04-28 ,19972.0703125   ,20034.41015625
2025-04-29 ,20018.3203125   ,20232.630859375
2025-04-30 ,20215.390625    ,20235.029296875
2025-05-02 ,20534.080078125 ,20787.640625
2025-05-05 ,20839.0390625   ,20532.990234375
2025-05-06 ,20353.880859375 ,20522.58984375
2025-05-07 ,20575.150390625 ,20546.490234375
2025-05-08 ,20559.650390625 ,20543.400390625
2025-05-09 ,20690.80078125  ,20915.0390625
2025-05-12 ,20996.94921875  ,21129.5390625
2025-05-13 ,21474.01953125  ,21330.140625
2025-05-14 ,21552.419921875 ,21782.869140625
2025-05-15 ,21776.650390625 ,21730.25
2025-05-16 ,21731.880859375 ,21843.689453125
2025-05-19 ,21786.330078125 ,21523.830078125
2025-05-20 ,21631.609375    ,21526.029296875
2025-05-21 ,21603.580078125 ,21803.91015625
